Rk,Player,Squad,Club,Age,MP_WC,Saves_WC,SoTA_WC,SavePct_WC,CS_WC,GA90_WC,MP_DOM,Saves_DOM,SavePct_DOM,CS_DOM,GA90_DOM,Rating,Highlight,Opponents,Local_File,Relative_Path,Avatar,Story
11,Alisson,Brazil,Liverpool,28,5,14,18,77.8,2,0.8,28,57,64.8,8,1.19,7.1,Quarterfinalists,"Morocco, Haiti, Scotland",gk_03_Alisson.jpg,goalkeeper_images/gk_03_Alisson.jpg,goalkeeper_images/gk_03_Alisson.jpg,"**World Cup**: 5 MP, 18 SoTA, 14 Saves, 77.8% Save%, 2 CS | **Domestic (Liverpool)**: 28 MP, 57 Saves, 64.8% Save%, 8 CS"
12,Unai Simón,Spain,Athletic Club,28,8,9,11,90.9,7,0.12,36,97,64.2,6,1.46,7.0,2026 World Cup Champions 🏆,"Cabo Verde, Uruguay, Saudi Arabia",gk_52_Unai_Sim_n.jpg,goalkeeper_images/gk_52_Unai_Sim_n.jpg,goalkeeper_images/gk_52_Unai_Sim_n.jpg,"**World Cup**: 8 MP, 11 SoTA, 9 Saves, 90.9% Save%, 7 CS | **Domestic (Athletic Club)**: 36 MP, 97 Saves, 64.2% Save%, 6 CS"
13,Lionel Mpasi,Congo DR,Le Havre,28,3,14,19,73.7,0,1.25,25,15,88.2,1,0.57,6.8,World Cup Participant,"Portugal, Uzbekistan, Colombia",gk_34_Lionel_Mpasi.jpg,goalkeeper_images/gk_34_Lionel_Mpasi.jpg,goalkeeper_images/gk_34_Lionel_Mpasi.jpg,"**World Cup**: 3 MP, 19 SoTA, 14 Saves, 73.7% Save%, 0 CS | **Domestic (Le Havre)**: 25 MP, 15 Saves, 88.2% Save%, 1 CS"
14,Ørjan Nyland,Norway,Sevilla,28,6,15,22,68.2,0,1.31,25,11,57.9,1,1.6,6.7,Round of 16 (Biggest Climb +12),"France, Senegal, Iraq",gk_39__rjan_Nyland.jpg,goalkeeper_images/gk_39__rjan_Nyland.jpg,goalkeeper_images/gk_39__rjan_Nyland.jpg,"**World Cup**: 6 MP, 22 SoTA, 15 Saves, 68.2% Save%, 0 CS | **Domestic (Sevilla)**: 25 MP, 11 Saves, 57.9% Save%, 1 CS"
15,Yassine Bounou,Morocco,Al-Hilal,28,6,14,20,70.0,2,0.95,31,44,69.2,14,0.77,6.7,Quarterfinalists (Highest African Rank #6),"Brazil, Haiti, Scotland",gk_10_Yassine_Bounou.jpg,goalkeeper_images/gk_10_Yassine_Bounou.jpg,goalkeeper_images/gk_10_Yassine_Bounou.jpg,"**World Cup**: 6 MP, 20 SoTA, 14 Saves, 70.0% Save%, 2 CS | **Domestic (Al-Hilal)**: 31 MP, 44 Saves, 69.2% Save%, 14 CS"
16,Lawrence Ati-Zigi,Ghana,St. Gallen,28,3,8,9,88.9,1,0.67,30,8,88.9,1,0.67,6.7,Group Stage,"England, Croatia, Panama",gk_05_Lawrence_Ati_Zigi.jpg,goalkeeper_images/gk_05_Lawrence_Ati_Zigi.jpg,goalkeeper_images/gk_05_Lawrence_Ati_Zigi.jpg,"**World Cup**: 3 MP, 9 SoTA, 8 Saves, 88.9% Save%, 1 CS | **Domestic (St. Gallen)**: 30 MP, 8 Saves, 88.9% Save%, 1 CS"
17,Thibaut Courtois,Belgium,Real Madrid,28,6,14,20,70.0,1,0.98,26,70,71.4,13,0.87,6.6,Quarterfinalists,"Egypt, Iran, New Zealand",gk_14_Thibaut_Courtois.jpg,goalkeeper_images/gk_14_Thibaut_Courtois.jpg,goalkeeper_images/gk_14_Thibaut_Courtois.jpg,"**World Cup**: 6 MP, 20 SoTA, 14 Saves, 70.0% Save%, 1 CS | **Domestic (Real Madrid)**: 26 MP, 70 Saves, 71.4% Save%, 13 CS"
18,Jordan Pickford,England,Everton,28,8,15,23,65.2,2,1.09,38,99,66.4,11,1.32,6.5,Semifinalists (3rd Place) 🥉,"Croatia, Panama, Ghana",gk_42_Jordan_Pickford.jpg,goalkeeper_images/gk_42_Jordan_Pickford.jpg,goalkeeper_images/gk_42_Jordan_Pickford.jpg,"**World Cup**: 8 MP, 23 SoTA, 15 Saves, 65.2% Save%, 2 CS | **Domestic (Everton)**: 38 MP, 99 Saves, 66.4% Save%, 11 CS"
19,Zion Suzuki,Japan,Parma,28,4,12,17,70.6,1,1.25,25,65,69.9,5,1.4,6.4,Round of 32,"Netherlands, Sweden, Tunisia",gk_53_Zion_Suzuki.jpg,goalkeeper_images/gk_53_Zion_Suzuki.jpg,goalkeeper_images/gk_53_Zion_Suzuki.jpg,"**World Cup**: 4 MP, 17 SoTA, 12 Saves, 70.6% Save%, 1 CS | **Domestic (Parma)**: 25 MP, 65 Saves, 69.9% Save%, 5 CS"
20,Ronwen Williams,South Africa,Sundowns,28,3,11,15,73.3,1,1.0,25,11,73.3,1,1.0,6.4,World Cup Participant,"Mexico, South Korea, Czechia",gk_60_Ronwen_Williams.jpg,goalkeeper_images/gk_60_Ronwen_Williams.jpg,goalkeeper_images/gk_60_Ronwen_Williams.jpg,"**World Cup**: 3 MP, 15 SoTA, 11 Saves, 73.3% Save%, 1 CS | **Domestic (Sundowns)**: 25 MP, 11 Saves, 73.3% Save%, 1 CS"
